Overhead - Hydraulic	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_OH_ICE_BU_WINDOW_HEAT_L_GUARD	78	69710			
EVT_OH_ICE_BU_WINDOW_HEAT_R	79	69711			
 
EVT_OH_ICE_BU_WINDOW_HEAT_R_GUARD	80	69712			
EVT_OH_ICE_WING_ANTIICE	111	69743			
EVT_OH_ICE_ENGINE_ANTIICE_1	112	69744			
EVT_OH_ICE_ENGINE_ANTIICE_2	113	69745			

Overhead Lights Panel	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_OH_LIGHTS_LANDING_L	22	69654			
EVT_OH_LIGHTS_LANDING_NOSE	23	69655			
EVT_OH_LIGHTS_LANDING_R	24	69656			
EVT_OH_LIGHTS_STORM	27	69659			
EVT_OH_LIGHTS_BEACON	114	69746			
EVT_OH_LIGHTS_NAV	115	69747			
EVT_OH_LIGHTS_LOGO	116	69748			
EVT_OH_LIGHTS_WING	117	69749			
EVT_OH_LIGHTS_IND_LTS_SWITCH	118	69750			
EVT_OH_LIGHTS_L_TURNOFF	119	69751			
EVT_OH_LIGHTS_R_TURNOFF	120	69752			
EVT_OH_LIGHTS_TAXI	121	69753			
EVT_OH_LIGHTS_STROBE	122	69754			
EVT_OH_NO_SMOKING_LIGHT_SWITCH	29	69661			
EVT_OH_FASTEN_BELTS_LIGHT_SWITCH	30	69662			
EVT_OH_PANEL_LIGHT_CONTROL	25	69657			
EVT_OH_CB_LIGHT_CONTROL	2501	72133			
EVT_OH_GS_PANEL_LIGHT_CONTROL	21	69653			
EVT_OH_GS_FLOOD_LIGHT_CONTROL	2101	71733			
EVT_OH_DOME_SWITCH	26	69658			
EVT_OH_MASTER_BRIGHT_ROTATE	28	69660			
EVT_OH_MASTER_BRIGHT_PUSH	2801	72433			

Overhead - APU & Cargo Fire Panel	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_OH_FIRE_CARGO_ARM_FWD	85	69717			
EVT_OH_FIRE_CARGO_ARM_AFT	86	69718			
EVT_OH_FIRE_CARGO_DISCH	87	69719			
EVT_OH_FIRE_CARGO_DISCH_GUARD	88	69720			
EVT_OH_FIRE_OVHT_TEST	89	69721			
EVT_OH_FIRE_HANDLE_APU_TOP	84	69716			
EVT_OH_FIRE_HANDLE_APU_BOTTOM	8401	78033			
EVT_OH_FIRE_UNLOCK_SWITCH_APU	8402	78034			
EVT_OH_FIRE_CARGO_ARM_MAIN_DECK	1074	70706			
EVT_OH_FIRE_CARGO_DISCH_DEPR	1075	70707			

Overhead - Engine control	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_OH_EEC_L_SWITCH	90	69722			
EVT_OH_EEC_L_GUARD	91	69723			
EVT_OH_EEC_R_SWITCH	92	69724			
EVT_OH_EEC_R_GUARD	93	69725			
EVT_OH_ENGINE_L_START	94	69726			
EVT_OH_ENGINE_R_START	95	69727			
EVT_OH_ENGINE_AUTOSTART	96	69728			
 
Overhead - Miscellaneous	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_OH_CAMERA_LTS_SWITCH	19	69651			
EVT_OH_WIPER_LEFT_SWITCH	20	69652			
EVT_OH_EMER_EXIT_LIGHT_SWITCH	49	69681			
EVT_OH_EMER_EXIT_LIGHT_GUARD	50	69682			
EVT_OH_SERVICE_INTERPHONE_SWITCH	51	69683			
EVT_OH_OXY_PASS_SWITCH	52	69684			
EVT_OH_OXY_PASS_GUARD	53	69685			
EVT_OH_OXY_SUPRNMRY_SWITCH	1076	70708			
EVT_OH_OXY_SUPRNMRY_GUARD	1077	70709			
EVT_OH_THRUST_ASYM_COMP	54	69686			
EVT_OH_PRIM_FLT_COMPUTERS	55	69687			
EVT_OH_PRIM_FLT_COMPUTERS_GUARD	56	69688			
EVT_OH_ADIRU_SWITCH	59	69691			
EVT_OH_HYD_VLV_PWR_WING_L	60	69692			
EVT_OH_HYD_VLV_PWR_WING_L_GUARD	61	69693			
EVT_OH_HYD_VLV_PWR_WING_C	63	69695			
EVT_OH_HYD_VLV_PWR_WING_C_GUARD	64	69696			
VT_OH_HYD_VLV_PWR_WING_R	66	69698			
EVT_OH_HYD_VLV_PWR_WING_R_GUARD	67	69699			
EVT_OH_HYD_VLV_PWR_TAIL_L	69	69701			
EVT_OH_HYD_VLV_PWR_TAIL_L_GUARD	70	69702			
EVT_OH_HYD_VLV_PWR_TAIL_C	71	69703			
EVT_OH_HYD_VLV_PWR_TAIL_C_GUARD	72	69704			
EVT_OH_HYD_VLV_PWR_TAIL_R	74	69706			
EVT_OH_HYD_VLV_PWR_TAIL_R_GUARD	75	69707			
EVT_OH_WIPER_RIGHT_SWITCH 1	123	69755			
EVT_OH_CVR_TEST	156	69788			
EVT_OH_CVR_ERASE	157	69789			
EVT_OH_APU_TEST_SWITCH	159	69791			
EVT_OH_APU_TEST_SWITCH_GUARD	160	69792			
EVT_OH_EEC_TEST_L_SWITCH	161	69793			
EVT_OH_EEC_TEST_L_SWITCH_GUARD	162	69794			
EVT_OH_EEC_TEST_R_SWITCH	163	69795			
EVT_OH_EEC_TEST_R_SWITCH_GUARD	164	69796			
EVT_GPWS_RWY_OVRD_SWITCH	1109	70741			
EVT_GPWS_RWY_OVRD_GUARD	1110	70742			

Forward Panel - Instrument Source Select	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_FWD_NAV_SOURCE_L	168	69800			
EVT_FWD_DSPL_CTRL_SOURCE_L	169	69801			
EVT_FWD_AIR_DATA_ATT_SOURCE_L	170	69802			
EVT_FWD_NAV_SOURCE_R	276	69908			
EVT_FWD_DSPL_CTRL_SOURCE_R	277	69909			
EVT_FWD_AIR_DATA_ATT_SOURCE_R	278	69910			
EVT_FWD_FMC_SELECTOR	291	69923			

Forward Panel - Display Selectors	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_DSP_INDB_DSPL_L	315	69947			
EVT_DSP_INDB_DSPL_R	290	69922			
 
Forward Panel - Heading Reference	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_EFIS_HDG_REF_SWITCH	313	69945			
EVT_EFIS_HDG_REF_GUARD	314	69946			

Forward Panel - Gear	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_GEAR_LEVER	295	69927			
EVT_GEAR_LEVER_UNLOCK	296	69928			
EVT_GEAR_ALTN_GEAR_DOWN	293	69925			
EVT_GEAR_ALTN_GEAR_DOWN_GUARD	294	69926			

Forward Panel - GPWS	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_GPWS_TERR_OVRD_SWITCH	297	69929			
EVT_GPWS_TERR_OVRD_GUARD	298	69930			
EVT_GPWS_GEAR_OVRD_SWITCH	299	69931			
EVT_GPWS_GEAR_OVRD_GUARD	300	69932			
EVT_GPWS_FLAP_OVRD_SWITCH	301	69933			
EVT_GPWS_FLAP_OVRD_GUARD	302	69934			
EVT_GPWS_GS_INHIBIT_SWITCH	303	69935			

Forward Panel - Autobrakes	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_ABS_AUTOBRAKE_SELECTOR	292	69924			

Forward Panel - ISFD	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_ISFD_APP	810	70442			
EVT_ISFD_HP_IN	811	70443			
EVT_ISFD_PLUS	812	70444			
EVT_ISFD_MINUS	813	70445			
EVT_ISFD_ATT_RST	814	70446			
EVT_ISFD_BARO	815	70447			
EVT_ISFD_BARO_PUSH	816	70448			

Forward Panel - non-ISFD standby instruments	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_STANDBY_ASI_KNOB	1058	70690			
EVT_STANDBY_ASI_KNOB_PUSH	1059	70691			
EVT_STANDBY_ALTIMETER_KNOB	1060	70692			
EVT_STANDBY_ALTIMETER_KNOB_PUSH	1061	70693			

Forward Panel - Chronometers	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_CHRONO_L_CHR	171	69803			
EVT_CHRONO_L_TIME_DATE_SELECT	172	69804			
EVT_CHRONO_L_TIME_DATE_PUSH	1721	71353			
EVT_CHRONO_L_ET	173	69805			
EVT_CHRONO_L_SET	174	69806			
EVT_CHRONO_R_CHR	279	69911			
EVT_CHRONO_R_TIME_DATE_SELECT	280	69912			
EVT_CHRONO_R_TIME_DATE_PUSH	2802	72434			
EVT_CHRONO_R_ET	281	69913			
EVT_CHRONO_R_SET	282	69914			
 
Forward Panel - Left Sidewall	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_FWD_LEFT_SHOULDER_HEATER	318	69950			
EVT_FWD_LEFT_FOOT_HEATER	319	69951			
EVT_FWD_LEFT_OUTBD_BRIGHT_CONTROL	320	69952			
EVT_FWD_LEFT_INBD_BRIGHT_CONTROL	321	69953			
EVT_FWD_LEFT_INBD_TERR_BRIGHT_CONTROL	3210	72842			
EVT_FWD_LEFT_PANEL_LIGHT_CONTROL	322	69954			
EVT_FWD_LEFT_FLOOD_LIGHT_CONTROL	3220	72852			

Forward Panel - Right Sidewall	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_FWD_RIGHT_FOOT_HEATER	288	69920			
EVT_FWD_RIGHT_SHOULDER_HEATER	289	69921			
EVT_FWD_RIGHT_PANEL_LIGHT_CONTROL	285	69917			
EVT_FWD_RIGHT_FLOOD_LIGHT_CONTROL	2850	72482			
EVT_FWD_RIGHT_INBD_BRIGHT_CONTROL	286	69918			
EVT_FWD_RIGHT_INBD_TERR_BRIGHT_CONTROL	2860	72492			
EVT_FWD_RIGHT_OUTBD_BRIGHT_CONTROL	287	69919			

Glareshield - EFIS Captain control panel	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_EFIS_CPT_MINIMUMS_RADIO_BARO	181	69813			
EVT_EFIS_CPT_MINIMUMS	182	69814			
EVT_EFIS_CPT_MINIMUMS_RST	183	69815			
EVT_EFIS_CPT_VOR_ADF_SELECTOR_L	184	69816			
EVT_EFIS_CPT_MODE	185	69817			
EVT_EFIS_CPT_MODE_CTR	186	69818			
EVT_EFIS_CPT_RANGE	187	69819			
EVT_EFIS_CPT_RANGE_TFC	188	69820			
EVT_EFIS_CPT_VOR_ADF_SELECTOR_R	189	69821			
EVT_EFIS_CPT_BARO_IN_HPA	190	69822			
EVT_EFIS_CPT_BARO	191	69823			
EVT_EFIS_CPT_BARO_STD	192	69824			
EVT_EFIS_CPT_FPV	193	69825			
EVT_EFIS_CPT_MTRS	194	69826			
EVT_EFIS_CPT_WXR	195	69827			
EVT_EFIS_CPT_STA	196	69828			
EVT_EFIS_CPT_WPT	197	69829			
EVT_EFIS_CPT_ARPT	198	69830			
EVT_EFIS_CPT_DATA	199	69831			
EVT_EFIS_CPT_POS	200	69832			
EVT_EFIS_CPT_TERR	201	69833			

Glareshield - EFIS FO control panels	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_EFIS_FO_MINIMUMS_RADIO_BARO	248	69880			
EVT_EFIS_FO_MINIMUMS	249	69881			
EVT_EFIS_FO_MINIMUMS_RST	250	69882			
EVT_EFIS_FO_VOR_ADF_SELECTOR_L	251	69883			
EVT_EFIS_FO_MODE	252	69884			
EVT_EFIS_FO_MODE_CTR	253	69885			
EVT_EFIS_FO_RANGE	254	69886			
EVT_EFIS_FO_RANGE_TFC	255	69887			
 
EVT_EFIS_FO_VOR_ADF_SELECTOR_R	256	69888			
EVT_EFIS_FO_BARO_IN_HPA	257	69889			
EVT_EFIS_FO_BARO	258	69890			
EVT_EFIS_FO_BARO_STD	259	69891			
EVT_EFIS_FO_FPV	260	69892			
EVT_EFIS_FO_MTRS	261	69893			
EVT_EFIS_FO_WXR	262	69894			
EVT_EFIS_FO_STA	263	69895			
EVT_EFIS_FO_WPT	264	69896			
EVT_EFIS_FO_ARPT	265	69897			
EVT_EFIS_FO_DATA	266	69898			
EVT_EFIS_FO_POS	267	69899			
EVT_EFIS_FO_TERR	268	69900			

Glareshield - MCP	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_MCP_FD_SWITCH_L	202	69834			
EVT_MCP_AP_L_SWITCH	203	69835			
EVT_MCP_AT_ARM_SWITCH_L	204	69836			
EVT_MCP_AT_ARM_SWITCH_R	205	69837			
EVT_MCP_CLB_CON_SWITCH	206	69838			
EVT_MCP_AT_SWITCH	207	69839			
EVT_MCP_IAS_MACH_SWITCH	208	69840			
EVT_MCP_SPEED_SELECTOR	210	69842			
EVT_MCP_SPEED_PUSH_SWITCH	2100	71732			
EVT_MCP_LNAV_SWITCH	211	69843			
EVT_MCP_VNAV_SWITCH	212	69844			
EVT_MCP_LVL_CHG_SWITCH	213	69845			
EVT_MCP_DISENGAGE_BAR	214	69846			
EVT_MCP_HDG_TRK_SWITCH	216	69848			
EVT_MCP_HEADING_PUSH_SWITCH	218	69850			
EVT_MCP_HEADING_SELECTOR	2180	71812			
EVT_MCP_BANK_ANGLE_SELECTOR	2181	71813			
EVT_MCP_HDG_HOLD_SWITCH	219	69851			
EVT_MCP_VS_FPA_SWITCH	220	69852			
EVT_MCP_VS_SELECTOR	222	69854			
EVT_MCP_VS_SWITCH	223	69855			
EVT_MCP_ALTITUDE_SELECTOR	2250	71882			
EVT_MCP_ALTITUDE_PUSH_SWITCH	2251	71883			
EVT_MCP_ALT_INCR_SELECTOR	225	69857			
EVT_MCP_ALT_HOLD_SWITCH	226	69858			
EVT_MCP_LOC_SWITCH	227	69859			
EVT_MCP_APP_SWITCH	228	69860			
EVT_MCP_AP_R_SWITCH	229	69861			
EVT_MCP_FD_SWITCH_R	230	69862			
EVT_MCP_TOGA_SCREW_L	5001	74633			
EVT_MCP_TOGA_SCREW_R	5002	74634			

Glareshield - Display Select Panel	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_DSP_L_INBD_SWITCH	231	69863			
EVT_DSP_R_INBD_SWITCH	232	69864			
 
EVT_DSP_LWR_CTR_SWITCH	233	69865			
EVT_DSP_ENG_SWITCH	234	69866			
EVT_DSP_STAT_SWITCH	235	69867			
EVT_DSP_ELEC_SWITCH	236	69868			
EVT_DSP_HYD_SWITCH	237	69869			
EVT_DSP_FUEL_SWITCH	238	69870			
EVT_DSP_AIR_SWITCH	239	69871			
EVT_DSP_DOOR_SWITCH	240	69872			
EVT_DSP_GEAR_SWITCH	241	69873			
EVT_DSP_FCTL_SWITCH	242	69874			
EVT_DSP_CAM_SWITCH	243	69875			
EVT_DSP_CHKL_SWITCH	244	69876			
EVT_DSP_COMM_SWITCH	245	69877			
EVT_DSP_NAV_SWITCH	246	69878			
EVT_DSP_CANC_RCL_SWITCH	247	69879			

Glareshield - Master Warning/caution	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_MASTER_WARNING_RESET_LEFT	177	69809			
EVT_MASTER_WARNING_RESET_RIGHT	272	69904			

Glareshield - Data Link Switches	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_DATA_LINK_ACPT_LEFT	178	69810			
EVT_DATA_LINK_CANC_LEFT	179	69811			
EVT_DATA_LINK_RJCT_LEFT	180	69812			
EVT_DATA_LINK_ACPT_RIGHT	269	69901			
EVT_DATA_LINK_CANC_RIGHT	270	69902			
EVT_DATA_LINK_RJCT_RIGHT	271	69903			

Glareshield - Miscellaneous	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_CLOCK_L	165	69797			
EVT_MAP_LIGHT_L	166	69798			
EVT_GLARESHIELD_MIC_L	167	69799			
EVT_GLARESHIELD_MIC_R	273	69905			
EVT_MAP_LIGHT_R	274	69906			
EVT_CLOCK_R	275	69907			
EVT_CHART_LIGHT_L	1107	70739			
EVT_CHART_LIGHT_R	1108	70740			
EVT_WORKTABLE_LIGHT_R	1105	70737			
EVT_WORKTABLE_LIGHT_L	1106	70738			

Pedestal - Fwd Aisle Stand - CDUs	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_CDU_L_L1	328	69960			
EVT_CDU_L_L2	329	69961			
EVT_CDU_L_L3	330	69962			
EVT_CDU_L_L4	331	69963			
EVT_CDU_L_L5	332	69964			
EVT_CDU_L_L6	333	69965			
EVT_CDU_L_R1	334	69966			
EVT_CDU_L_R2	335	69967			
EVT_CDU_L_R3	336	69968			
 
EVT_CDU_L_R4	337	69969			
EVT_CDU_L_R5	338	69970			
EVT_CDU_L_R6	339	69971			
EVT_CDU_L_INIT_REF	340	69972			
EVT_CDU_L_RTE	341	69973			
EVT_CDU_L_DEP_ARR	342	69974			
EVT_CDU_L_ALTN	343	69975			
EVT_CDU_L_VNAV	344	69976			
EVT_CDU_L_FIX	345	69977			
EVT_CDU_L_LEGS	346	69978			
EVT_CDU_L_HOLD	347	69979			
EVT_CDU_L_FMCCOMM	3471	73103			
EVT_CDU_L_PROG	348	69980			
EVT_CDU_L_EXEC	349	69981			
EVT_CDU_L_MENU	350	69982			
EVT_CDU_L_NAV_RAD	351	69983			
EVT_CDU_L_PREV_PAGE	352	69984			
EVT_CDU_L_NEXT_PAGE	353	69985			
EVT_CDU_L_1	354	69986			
EVT_CDU_L_2	355	69987			
EVT_CDU_L_3	356	69988			
EVT_CDU_L_4	357	69989			
EVT_CDU_L_5	358	69990			
EVT_CDU_L_6	359	69991			
EVT_CDU_L_7	360	69992			
EVT_CDU_L_8	361	69993			
EVT_CDU_L_9	362	69994			
EVT_CDU_L_DOT	363	69995			
EVT_CDU_L_0	364	69996			
EVT_CDU_L_PLUS_MINUS	365	69997			
EVT_CDU_L_A	366	69998			
EVT_CDU_L_B	367	69999			
EVT_CDU_L_C	368	70000			
EVT_CDU_L_D	369	70001			
EVT_CDU_L_E	370	70002			
EVT_CDU_L_F	371	70003			
EVT_CDU_L_G	372	70004			
EVT_CDU_L_H	373	70005			
EVT_CDU_L_I	374	70006			
EVT_CDU_L_J	375	70007			
EVT_CDU_L_K	376	70008			
EVT_CDU_L_L	377	70009			
EVT_CDU_L_M	378	70010			
EVT_CDU_L_N	379	70011			
EVT_CDU_L_O	380	70012			
EVT_CDU_L_P	381	70013			
EVT_CDU_L_Q	382	70014			
EVT_CDU_L_R	383	70015			
EVT_CDU_L_S	384	70016			
EVT_CDU_L_T	385	70017			
 
EVT_CDU_L_U	386	70018			
EVT_CDU_L_V	387	70019			
EVT_CDU_L_W	388	70020			
EVT_CDU_L_X	389	70021			
EVT_CDU_L_Y	390	70022			
EVT_CDU_L_Z	391	70023			
EVT_CDU_L_SPACE	392	70024			
EVT_CDU_L_DEL	393	70025			
EVT_CDU_L_SLASH	394	70026			
EVT_CDU_L_CLR	395	70027			
EVT_CDU_L_BRITENESS	400	70032			
EVT_CDU_R_L1	401	70033			
EVT_CDU_R_L2	402	70034			
EVT_CDU_R_L3	403	70035			
EVT_CDU_R_L4	404	70036			
EVT_CDU_R_L5	405	70037			
EVT_CDU_R_L6	406	70038			
EVT_CDU_R_R1	407	70039			
EVT_CDU_R_R2	408	70040			
EVT_CDU_R_R3	409	70041			
EVT_CDU_R_R4	410	70042			
EVT_CDU_R_R5	411	70043			
EVT_CDU_R_R6	412	70044			
EVT_CDU_R_INIT_REF	413	70045			
EVT_CDU_R_RTE	414	70046			
EVT_CDU_R_DEP_ARR	415	70047			
EVT_CDU_R_ALTN	416	70048			
EVT_CDU_R_VNAV	417	70049			
EVT_CDU_R_FIX	418	70050			
EVT_CDU_R_LEGS	419	70051			
EVT_CDU_R_HOLD	420	70052			
EVT_CDU_R_FMCCOMM	4201	73833			
EVT_CDU_R_PROG	421	70053			
EVT_CDU_R_EXEC	422	70054			
EVT_CDU_R_MENU	423	70055			
EVT_CDU_R_NAV_RAD	424	70056			
EVT_CDU_R_PREV_PAGE	425	70057			
EVT_CDU_R_NEXT_PAGE	426	70058			
EVT_CDU_R_1	427	70059			
EVT_CDU_R_2	428	70060			
EVT_CDU_R_3	429	70061			
EVT_CDU_R_4	430	70062			
EVT_CDU_R_5	431	70063			
EVT_CDU_R_6	432	70064			
EVT_CDU_R_7	433	70065			
EVT_CDU_R_8	434	70066			
EVT_CDU_R_9	435	70067			
EVT_CDU_R_DOT	436	70068			
EVT_CDU_R_0	437	70069			
EVT_CDU_R_PLUS_MINUS	438	70070			
 
EVT_CDU_R_A	439	70071			
EVT_CDU_R_B	440	70072			
EVT_CDU_R_C	441	70073			
EVT_CDU_R_D	442	70074			
EVT_CDU_R_E	443	70075			
EVT_CDU_R_F	444	70076			
EVT_CDU_R_G	445	70077			
EVT_CDU_R_H	446	70078			
EVT_CDU_R_I	447	70079			
EVT_CDU_R_J	448	70080			
EVT_CDU_R_K	449	70081			
EVT_CDU_R_L	450	70082			
EVT_CDU_R_M	451	70083			
EVT_CDU_R_N	452	70084			
EVT_CDU_R_O	453	70085			
EVT_CDU_R_P	454	70086			
EVT_CDU_R_Q	455	70087			
EVT_CDU_R_R	456	70088			
EVT_CDU_R_S	457	70089			
EVT_CDU_R_T	458	70090			
EVT_CDU_R_U	459	70091			
EVT_CDU_R_V	460	70092			
EVT_CDU_R_W	461	70093			
EVT_CDU_R_X	462	70094			
EVT_CDU_R_Y	463	70095			
EVT_CDU_R_Z	464	70096			
EVT_CDU_R_SPACE	465	70097			
EVT_CDU_R_DEL	466	70098			
EVT_CDU_R_SLASH	467	70099			
EVT_CDU_R_CLR	468	70100			
EVT_CDU_R_BRITENESS	469	70101			
EVT_CDU_C_L1	653	70285			
EVT_CDU_C_L2	654	70286			
EVT_CDU_C_L3	655	70287			
EVT_CDU_C_L4	656	70288			
EVT_CDU_C_L5	657	70289			
EVT_CDU_C_L6	658	70290			
EVT_CDU_C_R1	659	70291			
